Post_Date,Job_Title,Industry,Primary_Skill,Experience_Level,Min_Salary,Max_Salary,Region,Remote_Allowed,Applicant_Count,Job_Type,Company_Size,Urgency_Level,Education_Required,Attrition_Risk,Economic_Indicator_Score,Hiring_Budget_Status,Demand_Index
2024-01-01 00:00:00,QC Officer,IT & Outsourcing,Project Management,Senior,70411,185874,Colombo,0,76,Intern,MNC,Low,PhD,0.2937885280606458,3.433765693620193,Under,1.0793768019201546
2024-01-01 01:00:00,HR Analyst,Healthcare,AWS,Mid,93803,148346,Colombo,0,130,Full-time,Startup,High,Bachelors,0.2946751067920984,7.2343661602909695,On-Track,1.385883180708506
2024-01-01 02:00:00,Full Stack Developer,Healthcare,AWS,Mid,69296,160772,Colombo,1,174,Contract,SME,High,PhD,0.8019833567270661,3.281083244833282,Over,2.5109674440083123
2024-01-01 03:00:00,HR Analyst,Manufacturing,SQL,Mid,76293,182084,Colombo,1,209,Intern,MNC,High,PhD,0.2592141536119897,4.207290339889344,Over,2.739438742741798
2024-01-01 07:00:00,Full Stack Developer,Manufacturing,Java,Lead,62855,195712,Colombo,0,279,Full-time,Startup,Medium,Bachelors,0.7712731989216843,3.672212571238884,Under,4.438787685943838
2024-01-01 09:00:00,HR Analyst,IT & Outsourcing,Java,Mid,85585,115695,Colombo,1,58,Full-time,MNC,Medium,Masters,0.7965810453217564,4.224174850332856,Over,0.677688847344745
2024-01-01 10:00:00,QC Officer,IT & Outsourcing,Power BI,Entry,70025,149169,Colombo,1,108,Contract,Startup,Low,PhD,0.6072243140840269,1.8911748060564249,Under,1.5423063191717243
2024-01-01 12:00:00,Cloud Architect,Healthcare,Python,Senior,55307,157224,Colombo,0,91,Contract,Startup,High,PhD,0.3089014778891646,6.368016240089602,Over,1.6453613466649792
2024-01-01 13:00:00,HR Analyst,Finance,Power BI,Lead,91701,155865,Colombo,0,262,Intern,MNC,Low,PhD,0.1781625688808599,3.469441993036753,Over,2.8571116999814614
2024-01-01 15:00:00,QC Officer,Finance,Python,Entry,99831,170410,Colombo,1,246,Contract,MNC,Medium,PhD,0.4477523141308688,9.780610334340892,On-Track,2.4641644379000507
2024-01-01 17:00:00,Cloud Architect,IT & Outsourcing,Power BI,Senior,78273,165026,Colombo,1,35,Intern,SME,High,PhD,0.5213982819440369,8.288184964363882,On-Track,0.4471529135206265
2024-01-01 19:00:00,QC Officer,Manufacturing,AWS,Senior,55668,171922,Colombo,1,84,Intern,SME,Low,PhD,0.6008476251542633,7.796685468234345,On-Track,1.5089458935115323
2024-01-01 20:00:00,HR Analyst,IT & Outsourcing,Python,Mid,75934,183914,Colombo,1,15,Intern,MNC,High,Masters,0.1244546938781039,2.9308619908295785,On-Track,0.1975399689203782
2024-01-01 22:00:00,QC Officer,Manufacturing,Java,Mid,57697,149567,Colombo,1,291,Contract,SME,High,Masters,0.8397671936364564,1.4688026916603194,On-Track,5.043589788030573
2024-01-01 23:00:00,ML Engineer,Manufacturing,Project Management,Entry,74417,157365,Colombo,1,180,Intern,Startup,Medium,Bachelors,0.848216130065547,4.169246352042192,Over,2.4188021554214765
